activity_id,activity_type,activity_date,status,subject,notes_summary,next_action,next_action_date,sentiment
ACT05604,FOLLOW_UP,2026-04-08,OPEN,Referral Introduction Follow-Up,Followed up on referral Introduction Follow-Up. Confirmed remaining paperwork and owners for each open item.,Book next review,2026-07-12,NEGATIVE
ACT05700,MEETING,2026-05-23,COMPLETED,Retirement Planning Session,Met with the household to walk through retirement Planning Session. Reviewed allocation versus plan targets and agreed on next steps.,Update financial plan,2026-07-08,POSITIVE
ACT05701,CALL,2026-05-10,COMPLETED,Proposal Follow-Up Call,Spoke with the client regarding proposal Follow-Up Call. Addressed outstanding questions and confirmed follow-up items.,Book next review,2026-07-09,NEUTRAL
ACT05702,EMAIL,2026-04-27,COMPLETED,Market Commentary Shared,Delivered materials for market Commentary Shared. Flagged key figures and invited questions before the next review.,Schedule follow-up call,2026-07-10,POSITIVE
ACT05703,REVIEW,2026-04-14,COMPLETED,Annual Suitability Review,Completed annual Suitability Review. Documented findings and updated the client file with current risk and objectives.,Send requested documents,2026-07-11,NEUTRAL
ACT05704,FOLLOW_UP,2026-04-01,OPEN,Rollover Paperwork Follow-Up,Followed up on rollover Paperwork Follow-Up. Confirmed remaining paperwork and owners for each open item.,Send requested documents,2026-07-12,NEGATIVE
ACT05800,MEETING,2026-05-16,COMPLETED,Annual Financial Plan Review,Met with the household to walk through annual Financial Plan Review. Reviewed allocation versus plan targets and agreed on next steps.,Prepare updated proposal,2026-07-08,POSITIVE
ACT05801,CALL,2026-05-03,COMPLETED,RMD Planning Call,Spoke with the client regarding rMD Planning Call. Addressed outstanding questions and confirmed follow-up items.,Schedule follow-up call,2026-07-09,NEUTRAL
ACT05802,EMAIL,2026-04-20,COMPLETED,Tax Documents Delivered,Delivered materials for tax Documents Delivered. Flagged key figures and invited questions before the next review.,Schedule follow-up call,2026-07-10,POSITIVE
ACT05803,REVIEW,2026-04-07,COMPLETED,Annual Suitability Review,Completed annual Suitability Review. Documented findings and updated the client file with current risk and objectives.,Book next review,2026-07-11,NEUTRAL
ACT05804,FOLLOW_UP,2026-03-25,OPEN,Beneficiary Update Follow-Up,Followed up on beneficiary Update Follow-Up. Confirmed remaining paperwork and owners for each open item.,Schedule follow-up call,2026-07-12,NEGATIVE
ACT05900,MEETING,2026-05-09,COMPLETED,Estate Planning Discussion,Met with the household to walk through estate Planning Discussion. Reviewed allocation versus plan targets and agreed on next steps.,Update financial plan,2026-07-08,POSITIVE
ACT05901,CALL,2026-04-26,COMPLETED,Market Volatility Check-In,Spoke with the client regarding market Volatility Check-In. Addressed outstanding questions and confirmed follow-up items.,Send meeting recap,2026-07-09,NEUTRAL
ACT05902,EMAIL,2026-04-13,COMPLETED,Proposal Documents Sent,Delivered materials for proposal Documents Sent. Flagged key figures and invited questions before the next review.,Send requested documents,2026-07-10,POSITIVE
ACT05903,REVIEW,2026-03-31,COMPLETED,Financial Plan Progress Review,Completed financial Plan Progress Review. Documented findings and updated the client file with current risk and objectives.,Send requested documents,2026-07-11,NEUTRAL
ACT05904,FOLLOW_UP,2026-03-18,OPEN,Funding Confirmation Follow-Up,Followed up on funding Confirmation Follow-Up. Confirmed remaining paperwork and owners for each open item.,Book next review,2026-07-12,NEGATIVE
ACT06000,MEETING,2026-05-02,COMPLETED,New Account Onboarding Meeting,Met with the household to walk through new Account Onboarding Meeting. Reviewed allocation versus plan targets and agreed on next steps.,Update financial plan,2026-07-08,POSITIVE
ACT06001,CALL,2026-04-19,COMPLETED,Market Volatility Check-In,Spoke with the client regarding market Volatility Check-In. Addressed outstanding questions and confirmed follow-up items.,Schedule follow-up call,2026-07-09,NEUTRAL
ACT06002,EMAIL,2026-04-06,COMPLETED,Quarterly Performance Summary Sent,Delivered materials for quarterly Performance Summary Sent. Flagged key figures and invited questions before the next review.,Send meeting recap,2026-07-10,POSITIVE
ACT06003,REVIEW,2026-03-24,COMPLETED,Annual Suitability Review,Completed annual Suitability Review. Documented findings and updated the client file with current risk and objectives.,Prepare updated proposal,2026-07-11,NEUTRAL
ACT06004,FOLLOW_UP,2026-03-11,OPEN,Funding Confirmation Follow-Up,Followed up on funding Confirmation Follow-Up. Confirmed remaining paperwork and owners for each open item.,Send meeting recap,2026-07-12,NEGATIVE
